date,wind speed,wind direction,temperature,humidity,atmospheric pressure,OT
2021/1/1 0:00,13.19,36.86,0.17,32.28,973.65,73.4946
2021/1/1 0:15,12.89,36.91,0.23,32.24,973.51,73.1931
2021/1/1 0:30,13.32,36.99,0.28,32.18,973.34,73.5951
2021/1/1 0:45,13.3,37.07,0.34,32.12,973.18,70.5468
2021/1/1 1:00,13.13,37.15,0.39,32.06,973.01,70.5803
2021/1/1 1:15,12.63,37.23,0.43,31.97,972.94,69.7763
2021/1/1 1:30,12.4,37.3,0.47,31.88,972.9,64.4501
2021/1/1 1:45,11.99,37.38,0.51,31.78,972.85,62.3733
2021/1/1 2:00,12.11,37.45,0.55,31.69,972.81,68.3024
2021/1/1 2:15,12.02,37.62,0.59,31.61,972.77,68.0344
2021/1/1 2:30,11.65,37.8,0.62,31.54,972.74,60.6649
2021/1/1 2:45,11.61,37.99,0.65,31.47,972.7,61.4353
2021/1/1 3:00,11.18,38.18,0.68,31.4,972.67,62.4738
2021/1/1 3:15,11.39,38.26,0.7,31.31,972.54,64.0817
2021/1/1 3:30,11.61,38.31,0.72,31.22,972.4,65.5556
2021/1/1 3:45,12.06,38.37,0.74,31.12,972.26,66.5605
2021/1/1 4:00,12.55,38.42,0.76,31.03,972.12,71.7192
2021/1/1 4:15,12.4,38.33,0.77,30.9,972.03,69.6423
2021/1/1 4:30,12.24,38.21,0.79,30.76,971.94,67.2305
2021/1/1 4:45,12.08,38.08,0.81,30.62,971.86,70.6473
2021/1/1 5:00,11.94,37.96,0.83,30.48,971.77,67.8335
2021/1/1 5:15,12.14,37.77,0.84,30.31,971.75,67.398
2021/1/1 5:30,12.09,37.57,0.86,30.13,971.75,64.9526
2021/1/1 5:45,12.28,37.37,0.87,29.94,971.74,65.9911
2021/1/1 6:00,11.86,37.18,0.89,29.76,971.73,64.1822
2021/1/1 6:15,11.69,36.97,0.89,29.55,971.87,66.8955
2021/1/1 6:30,11.22,36.75,0.89,29.34,972.03,64.3497
2021/1/1 6:45,10.48,36.54,0.9,29.13,972.2,58.1525
2021/1/1 7:00,9.85,36.34,0.9,28.92,972.36,58.722
2021/1/1 7:15,9.69,40.57,0.44,37.65,971.71,57.5161
2021/1/1 7:30,9.42,42.47,0.18,41.19,971.47,49.4095
2021/1/1 7:45,9.58,42.5,0.08,40.85,971.52,48.5051
2021/1/1 8:00,9.58,42.53,-0.98,40.52,971.57,53.4293
2021/1/1 8:15,9.44,42.94,-0.51,39.05,971.52,49.979
2021/1/1 8:30,8.87,43.45,0.02,37.35,971.45,42.04
2021/1/1 8:45,7.66,43.98,0.56,35.66,971.37,30.4162
2021/1/1 9:00,6.91,44.54,1.09,33.96,971.3,26.0279
2021/1/1 9:15,6.92,44.1,1.67,32.66,971.34,23.6496
2021/1/1 9:30,6.63,43.41,2.26,31.42,971.41,21.0367
2021/1/1 9:45,6.32,42.69,2.84,30.18,971.47,18.6584
2021/1/1 10:00,6.65,41.9,3.43,28.95,971.54,19.3283
2021/1/1 10:15,6.36,41.65,3.99,28.21,971.61,15.7776
2021/1/1 10:30,6.54,41.51,4.53,27.58,971.68,19.0939
2021/1/1 10:45,6.96,41.36,5.08,26.95,971.75,22.2762
2021/1/1 11:00,6.99,41.2,5.63,26.32,971.82,20.5343
2021/1/1 11:15,6.48,41.08,6.05,26.03,971.78,10.4514
2021/1/1 11:30,5.72,40.96,6.45,25.82,971.72,7.73804
2021/1/1 11:45,5.5,40.84,6.85,25.6,971.66,5.92915
2021/1/1 12:00,4.94,40.72,7.25,25.39,971.6,4.62272
2021/1/1 12:15,4.62,41.16,7.55,25.26,971.26,2.81383
2021/1/1 12:30,4.36,41.7,7.82,25.16,970.87,1.10543
2021/1/1 12:45,3.73,42.22,8.09,25.06,970.48,0.736956
2021/1/1 13:00,3.71,42.72,8.36,24.96,970.09,0.468972
2021/1/1 13:15,3.72,43.21,8.52,24.94,969.82,0.937944
2021/1/1 13:30,3.99,43.68,8.67,24.93,969.57,0.16749
2021/1/1 13:45,4.24,44.14,8.81,24.93,969.32,2.51235
