date,fact_v,fact_d,fact_t,fact_w,fact_p,OT
2021/1/1 0:00,9.5,16.9,6.0,40.7,1003.1,90.6456
2021/1/1 0:15,10.0,17.1,5.8,41.3,1018.5,90.8466
2021/1/1 0:30,10.2,17.0,5.7,41.1,1011.9,91.1146
2021/1/1 0:45,10.0,16.9,5.6,39.8,1002.7,87.4298
2021/1/1 1:00,9.4,17.0,5.5,39.9,1006.6,89.7076
2021/1/1 1:15,9.8,16.9,5.4,39.9,1005.8,90.3776
2021/1/1 1:30,9.9,16.9,5.3,39.6,1000.1,91.0476
2021/1/1 1:45,10.4,17.0,5.2,40.0,1009.3,89.9756
2021/1/1 2:00,9.8,17.1,5.1,40.3,1017.3,88.7697
2021/1/1 2:15,10.5,16.9,5.1,39.9,1005.7,87.9658
2021/1/1 2:30,10.0,17.1,5.0,40.2,1013.9,88.2337
2021/1/1 2:45,9.9,16.9,4.9,39.7,1001.6,88.0997
2021/1/1 3:00,10.2,17.9,4.8,39.8,1005.0,86.3578
2021/1/1 3:15,10.8,17.8,4.7,39.7,1000.3,85.5539
2021/1/1 3:30,10.2,18.0,4.6,39.9,1006.7,85.8219
2021/1/1 3:45,10.6,18.0,4.5,39.1,1011.7,86.4248
2021/1/1 4:00,10.3,17.8,4.4,38.6,999.3,84.348
2021/1/1 4:15,10.0,17.9,4.4,38.7,1000.6,84.482
2021/1/1 4:30,10.0,17.9,4.3,38.8,1002.7,84.549
2021/1/1 4:45,9.8,17.9,4.2,38.8,1002.7,84.8169
2021/1/1 5:00,9.7,17.9,4.1,38.7,1000.9,86.2908
2021/1/1 5:15,10.6,17.9,4.1,38.7,1002.0,84.281
2021/1/1 5:30,10.0,18.9,4.0,38.7,1002.0,80.5292
2021/1/1 5:45,10.0,19.0,3.9,38.9,1007.6,81.6681
2021/1/1 6:00,9.9,19.9,3.8,38.8,1005.0,80.5962
2021/1/1 6:15,9.9,20.0,3.8,39.1,1010.4,79.7252
2021/1/1 6:30,10.3,20.1,3.8,39.3,1015.9,76.3084
2021/1/1 6:45,9.8,20.8,3.7,39.6,999.5,79.4573
2021/1/1 7:00,9.6,18.9,3.9,40.7,1001.1,78.6533
2021/1/1 7:15,10.0,19.1,3.9,42.3,1016.3,78.5193
2021/1/1 7:30,9.9,19.2,3.9,43.4,1018.3,79.4573
